"Vaccine","Geography.Type","Geography","FIPS","Season.Survey.Year","Month","Dimension.Type","Dimension","Estimate....","X95..CI....","Sample.Size","ym"
"Seasonal Influenza","HHS Regions/National","United States",100,"2017-18",11,"Age","≥6 Months",32.4,"32.1 to 32.7",436204,2017-11-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2017-18",12,"Age","≥6 Months",35.5,"35.2 to 35.8",436204,2017-12-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2018-19",1,"Age","≥6 Months",44.9,"44.6 to 45.2",441506,2018-01-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2018-19",2,"Age","≥6 Months",46.9,"46.6 to 47.2",441506,2018-02-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2018-19",3,"Age","≥6 Months",48.1,"47.8 to 48.4",441506,2018-03-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2018-19",4,"Age","≥6 Months",48.7,"48.4 to 49.0",441506,2018-04-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2018-19",5,"Age","≥6 Months",49.2,"48.9 to 49.5",441506,2018-05-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2018-19",7,"Age","≥6 Months",0.5,"0.5 to 0.5",441506,2018-07-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2018-19",8,"Age","≥6 Months",2.4,"2.3 to 2.5",441506,2018-08-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2018-19",9,"Age","≥6 Months",10.1,"9.9 to 10.3",441506,2018-09-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2018-19",10,"Age","≥6 Months",28.6,"28.3 to 28.9",441506,2018-10-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2018-19",11,"Age","≥6 Months",37.9,"37.6 to 38.2",441506,2018-11-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2018-19",12,"Age","≥6 Months",41.7,"41.4 to 42.0",441506,2018-12-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2019-20",1,"Age","≥6 Months",48.5,"48.0 to 49.0",439649,2019-01-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2019-20",2,"Age","≥6 Months",50.6,"50.1 to 51.1",439649,2019-02-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2019-20",3,"Age","≥6 Months",51.3,"50.8 to 51.8",439649,2019-03-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2019-20",4,"Age","≥6 Months",51.6,"51.1 to 52.1",439649,2019-04-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2019-20",5,"Age","≥6 Months",51.8,"51.3 to 52.3",439649,2019-05-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2019-20",7,"Age","≥6 Months",0.6,"0.6 to 0.6",439649,2019-07-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2019-20",8,"Age","≥6 Months",2.7,"2.5 to 2.9",439649,2019-08-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2019-20",9,"Age","≥6 Months",11.3,"11.1 to 11.5",439649,2019-09-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2019-20",10,"Age","≥6 Months",31.3,"31.0 to 31.6",439649,2019-10-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2019-20",11,"Age","≥6 Months",41.3,"40.8 to 41.8",439649,2019-11-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2019-20",12,"Age","≥6 Months",45.4,"44.9 to 45.9",439649,2019-12-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2020-21",1,"Age","≥6 Months",47.1,"46.8 to 47.4",437494,2020-01-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2020-21",2,"Age","≥6 Months",48.8,"48.5 to 49.1",437494,2020-02-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2020-21",3,"Age","≥6 Months",50.3,"49.8 to 50.8",437494,2020-03-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2020-21",4,"Age","≥6 Months",51.3,"50.8 to 51.8",437494,2020-04-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2020-21",5,"Age","≥6 Months",52.1,"51.6 to 52.6",437494,2020-05-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2020-21",7,"Age","≥6 Months",0.5,"0.5 to 0.5",437494,2020-07-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2020-21",8,"Age","≥6 Months",2.7,"2.5 to 2.9",437494,2020-08-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2020-21",9,"Age","≥6 Months",13.2,"13.0 to 13.4",437494,2020-09-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2020-21",10,"Age","≥6 Months",33.2,"32.9 to 33.5",437494,2020-10-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2020-21",11,"Age","≥6 Months",41.7,"41.4 to 42.0",437494,2020-11-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2020-21",12,"Age","≥6 Months",44.8,"44.5 to 45.1",437494,2020-12-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2021-22",1,"Age","≥6 Months",45.9,"45.6 to 46.2",449985,2021-01-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2021-22",2,"Age","≥6 Months",48.2,"47.9 to 48.5",449985,2021-02-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2021-22",3,"Age","≥6 Months",49.7,"49.4 to 50.0",449985,2021-03-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2021-22",4,"Age","≥6 Months",50.7,"50.4 to 51.0",449985,2021-04-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2021-22",5,"Age","≥6 Months",51.4,"51.1 to 51.7",449985,2021-05-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2021-22",7,"Age","≥6 Months",0.5,"0.5 to 0.5",449985,2021-07-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2021-22",8,"Age","≥6 Months",2.4,"2.4 to 2.4",449985,2021-08-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2021-22",9,"Age","≥6 Months",10.7,"10.5 to 10.9",449985,2021-09-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2021-22",10,"Age","≥6 Months",28.5,"28.2 to 28.8",449985,2021-10-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2021-22",11,"Age","≥6 Months",38.3,"38.0 to 38.6",449985,2021-11-01
"Seasonal Influenza","HHS Regions/National","United States",100,"2021-22",12,"Age","≥6 Months",42.8,"42.5 to 43.1",449985,2021-12-01
